Element, direction.x, direction.y, direction.z, direction.w, color.x, color.y, color.z, color.w, cascadeCount.x, cascadeCount.y, cascadeCount.z, cascadeCount.w, splitDistances.data[0], splitDistances.data[1], splitDistances.data[2], splitDistances.data[3], cascadeVPs.data[0].data[0].x, cascadeVPs.data[0].data[0].y, cascadeVPs.data[0].data[0].z, cascadeVPs.data[0].data[0].w, cascadeVPs.data[0].data[1].x, cascadeVPs.data[0].data[1].y, cascadeVPs.data[0].data[1].z, cascadeVPs.data[0].data[1].w, cascadeVPs.data[0].data[2].x, cascadeVPs.data[0].data[2].y, cascadeVPs.data[0].data[2].z, cascadeVPs.data[0].data[2].w, cascadeVPs.data[0].data[3].x, cascadeVPs.data[0].data[3].y, cascadeVPs.data[0].data[3].z, cascadeVPs.data[0].data[3].w, cascadeVPs.data[1].data[0].x, cascadeVPs.data[1].data[0].y, cascadeVPs.data[1].data[0].z, cascadeVPs.data[1].data[0].w, cascadeVPs.data[1].data[1].x, cascadeVPs.data[1].data[1].y, cascadeVPs.data[1].data[1].z, cascadeVPs.data[1].data[1].w, cascadeVPs.data[1].data[2].x, cascadeVPs.data[1].data[2].y, cascadeVPs.data[1].data[2].z, cascadeVPs.data[1].data[2].w, cascadeVPs.data[1].data[3].x, cascadeVPs.data[1].data[3].y, cascadeVPs.data[1].data[3].z, cascadeVPs.data[1].data[3].w, cascadeVPs.data[2].data[0].x, cascadeVPs.data[2].data[0].y, cascadeVPs.data[2].data[0].z, cascadeVPs.data[2].data[0].w, cascadeVPs.data[2].data[1].x, cascadeVPs.data[2].data[1].y, cascadeVPs.data[2].data[1].z, cascadeVPs.data[2].data[1].w, cascadeVPs.data[2].data[2].x, cascadeVPs.data[2].data[2].y, cascadeVPs.data[2].data[2].z, cascadeVPs.data[2].data[2].w, cascadeVPs.data[2].data[3].x, cascadeVPs.data[2].data[3].y, cascadeVPs.data[2].data[3].z, cascadeVPs.data[2].data[3].w, cascadeVPs.data[3].data[0].x, cascadeVPs.data[3].data[0].y, cascadeVPs.data[3].data[0].z, cascadeVPs.data[3].data[0].w, cascadeVPs.data[3].data[1].x, cascadeVPs.data[3].data[1].y, cascadeVPs.data[3].data[1].z, cascadeVPs.data[3].data[1].w, cascadeVPs.data[3].data[2].x, cascadeVPs.data[3].data[2].y, cascadeVPs.data[3].data[2].z, cascadeVPs.data[3].data[2].w, cascadeVPs.data[3].data[3].x, cascadeVPs.data[3].data[3].y, cascadeVPs.data[3].data[3].z, cascadeVPs.data[3].data[3].w
0, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 4, 0, 0, 0, 0.40776, 0.97923, 2.35157, 5.6472, -0.57493, 0.00, 0.00, 0.00, 0.00, 2.07466, 0.00, -0.90694, 0.00, 0.00, -1.75064, -174.43593, 0.00, 0.00, -166.39662, -16578.98633, -0.24018, 0.00, 0.00, 0.00, 0.00, 671088.5625, 0.00, -616837.9375, 0.00, 0.00, -0.73412, -72.72808, 0.00, 0.00, -69.77787, -6911.74219, -0.10002, 0.00, 0.00, 0.00, 0.00, 0.41126, 0.00, 0.62198, 0.00, 0.00, -0.30574, -29.86866, 0.00, 0.00, -29.06054, -2837.99097, -0.06973, 0.00, 0.00, 0.03355, 0.00, 0.25574, 0.00, 0.76493, 0.00, 0.00, -0.12729, -12.00857, 0.00, 0.00, -12.09833, -1140.40454
1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
